No.,Time,Source,Destination,Protocol,Length,Time since previous frame in this TCP stream,Source Port,Destination Port,Sequence Number,Acknowledgment Number,Time to Live,Arrival Time,S7 Communication,Data length,Function,Length,Byte Address,Info,label
57,3.744617,192.168.0.2,192.168.0.1,COTP,145,0.31311,56667,102,1261,3793,128,"Jan 22, 2024 16:20:45.660973000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
58,3.745122,192.168.0.2,192.168.0.1,COTP,61,0.000505,56667,102,1352,3847,128,"Jan 22, 2024 16:20:45.661478000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
59,3.745413,192.168.0.2,192.168.0.1,COTP,61,0.000291,56667,102,1359,4109,128,"Jan 22, 2024 16:20:45.661769000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
60,3.85224,192.168.0.2,192.168.0.1,COTP,61,0.106827,56667,102,1366,4158,128,"Jan 22, 2024 16:20:45.768596000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
61,4.061786,192.168.0.2,192.168.0.1,COTP,145,0.209546,56667,102,1373,4158,128,"Jan 22, 2024 16:20:45.978142000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
62,4.062244,192.168.0.2,192.168.0.1,COTP,61,0.000458,56667,102,1464,4212,128,"Jan 22, 2024 16:20:45.978600000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
63,4.062428,192.168.0.2,192.168.0.1,COTP,61,0.000184,56667,102,1471,4474,128,"Jan 22, 2024 16:20:45.978784000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
64,4.376156,192.168.0.2,192.168.0.1,COTP,145,0.313728,56667,102,1478,4474,128,"Jan 22, 2024 16:20:46.292512000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
65,4.376889,192.168.0.2,192.168.0.1,COTP,61,0.000733,56667,102,1569,4528,128,"Jan 22, 2024 16:20:46.293245000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
66,4.376982,192.168.0.2,192.168.0.1,TCP,54,0.000093,56667,102,1576,4790,128,"Jan 22, 2024 16:20:46.293338000 China Standard Time",,,,,,56667  >  102 [ACK] Seq=1576 Ack=4790 Win=64240 Len=0,Normal
67,4.37822,192.168.0.2,192.168.0.1,COTP,61,0.001238,56667,102,1576,4790,128,"Jan 22, 2024 16:20:46.294576000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
68,4.485719,192.168.1.241,192.168.1.1,COTP,61,1.01147,62991,102,244,465,128,"Jan 22, 2024 16:20:46.402075000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
69,4.628361,192.168.0.2,192.168.0.1,COTP,61,0.908506,56665,102,43,700,128,"Jan 22, 2024 16:20:46.544717000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
70,4.691311,192.168.0.2,192.168.0.1,COTP,145,0.313091,56667,102,1583,4790,128,"Jan 22, 2024 16:20:46.607667000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
71,4.691768,192.168.0.2,192.168.0.1,COTP,61,0.000457,56667,102,1674,4844,128,"Jan 22, 2024 16:20:46.608124000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
72,4.691982,192.168.0.2,192.168.0.1,COTP,61,0.000214,56667,102,1681,5106,128,"Jan 22, 2024 16:20:46.608338000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
73,4.999772,192.168.0.2,192.168.0.1,COTP,145,0.30779,56667,102,1688,5106,128,"Jan 22, 2024 16:20:46.916128000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
74,5.000247,192.168.0.2,192.168.0.1,COTP,61,0.000475,56667,102,1779,5160,128,"Jan 22, 2024 16:20:46.916603000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
75,5.000434,192.168.0.2,192.168.0.1,COTP,61,0.000187,56667,102,1786,5422,128,"Jan 22, 2024 16:20:46.916790000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
76,5.311732,192.168.0.2,192.168.0.1,COTP,145,0.311298,56667,102,1793,5422,128,"Jan 22, 2024 16:20:47.228088000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
77,5.312149,192.168.0.2,192.168.0.1,COTP,61,0.000417,56667,102,1884,5476,128,"Jan 22, 2024 16:20:47.228505000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
78,5.31232,192.168.0.2,192.168.0.1,COTP,61,0.000171,56667,102,1891,5738,128,"Jan 22, 2024 16:20:47.228676000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
79,5.494406,192.168.1.241,192.168.1.1,COTP,61,1.008687,62991,102,251,551,128,"Jan 22, 2024 16:20:47.410762000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
80,5.494789,192.168.1.241,192.168.1.1,COTP,146,0.000383,62991,102,258,551,128,"Jan 22, 2024 16:20:47.411145000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
81,5.536296,192.168.0.2,192.168.0.1,COTP,61,0.907935,56665,102,50,830,128,"Jan 22, 2024 16:20:47.452652000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
82,5.613603,192.168.0.2,192.168.0.1,COTP,145,0.301283,56667,102,1898,5738,128,"Jan 22, 2024 16:20:47.529959000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
